COD_MUN_IBGE,NOME_CANDIDATO,QTDE_VOTOS
2929107,DILMA VANA ROUSSEFF,7929
2929206,DILMA VANA ROUSSEFF,16843
2929255,DILMA VANA ROUSSEFF,8266
2929305,DILMA VANA ROUSSEFF,13350
2929354,DILMA VANA ROUSSEFF,2014
2929370,DILMA VANA ROUSSEFF,3502
2929404,DILMA VANA ROUSSEFF,4465
2929503,DILMA VANA ROUSSEFF,18647
2929602,DILMA VANA ROUSSEFF,7292
2929701,DILMA VANA ROUSSEFF,5693
2929750,DILMA VANA ROUSSEFF,4835
2929800,DILMA VANA ROUSSEFF,4539
2929909,DILMA VANA ROUSSEFF,16557
2930006,DILMA VANA ROUSSEFF,3601
2930105,DILMA VANA ROUSSEFF,16755
2930154,DILMA VANA ROUSSEFF,11517
2930204,DILMA VANA ROUSSEFF,11762
2930303,DILMA VANA ROUSSEFF,6576
2930402,DILMA VANA ROUSSEFF,8623
2930501,DILMA VANA ROUSSEFF,29042
2930600,DILMA VANA ROUSSEFF,3850
2930709,DILMA VANA ROUSSEFF,42912
2930758,DILMA VANA ROUSSEFF,4487
2930766,DILMA VANA ROUSSEFF,4908
2930774,DILMA VANA ROUSSEFF,8274
2930808,DILMA VANA ROUSSEFF,5933
2930907,DILMA VANA ROUSSEFF,5316
2931004,DILMA VANA ROUSSEFF,7977
2931053,DILMA VANA ROUSSEFF,6408
2931103,DILMA VANA ROUSSEFF,3360
2931202,DILMA VANA ROUSSEFF,5588
2931301,DILMA VANA ROUSSEFF,5099
2931350,DILMA VANA ROUSSEFF,38982
2931400,DILMA VANA ROUSSEFF,3421
2931509,DILMA VANA ROUSSEFF,9305
2931608,DILMA VANA ROUSSEFF,4231
2931707,DILMA VANA ROUSSEFF,4919
2931806,DILMA VANA ROUSSEFF,6938
2931905,DILMA VANA ROUSSEFF,18186
2932002,DILMA VANA ROUSSEFF,10525
2932101,DILMA VANA ROUSSEFF,6602
2932200,DILMA VANA ROUSSEFF,5840
